Financial Institution Name,total_assets,defaulter,Failure_Assistance ,log_TA,NI_to_TA,Equity_to_TA,NPL_to_TL,REO_to_TA,ALLL_to_TL,core_deposits_to_TA,brokered_deposits_to_TA,liquid_assets_to_TA,loss_provision_to_TL,ROA,NIM,assets_growth,term_spread,stock_mkt_growth,real_gdp_growth,unemployment_rate_change,treasury_yield_3m,bbb_spread,bbb_spread_change,log_TA_plus_1Q,NI_to_TA_plus_1Q,Equity_to_TA_plus_1Q,NPL_to_TL_plus_1Q,REO_to_TA_plus_1Q,ALLL_to_TL_plus_1Q,core_deposits_to_TA_plus_1Q,brokered_deposits_to_TA_plus_1Q,liquid_assets_to_TA_plus_1Q,loss_provision_to_TL_plus_1Q,ROA_plus_1Q,NIM_plus_1Q,assets_growth_plus_1Q,max_total_assets
HOMESTREET BANK,1685306,0,,1.774896729,0.182060208,-0.536358887,-0.468703411,-0.341707224,-0.439771234,-1.666609404,-0.182974509,-1.519059554,-0.003200049,0.182060208,0.281230343,-0.181488106,0.433880701,1.674053308,0.951609098,0.531128816,-0.354566587,-0.189322549,-0.863677128,1.792453303,0.149001464,-0.518817878,-0.545724339,-0.341574481,-0.454597085,-1.522865544,-0.182974509,-1.601081716,-0.003624691,0.149001464,0.495495374,0.077905965,4956550
ISN BANK,102966,1,FAILURE,-0.286486027,-1.189621032,-1.345284738,7.77555269,0.41272742,4.354274067,-1.092184344,-0.182974509,-0.70302962,-0.004325596,-1.189621032,-1.747202893,-0.735448839,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,-0.383733377,-1.30203823,-1.424410629,8.781554871,0.565854032,4.813862854,-1.435068689,-0.182974509,-0.705802366,-0.004325596,-1.30203823,-1.984540381,-1.997521603,275276
BANK OF FLORIDA - SOUTHWEST,744646,1,FAILURE,1.172556424,-0.759984174,0.358209655,4.018088307,0.478448078,0.550130743,-2.119381713,-0.182974509,-1.537516734,0.012288488,-0.759984174,-1.104890531,-0.472374776,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,1.130267043,-12.94860925,-0.97703227,4.352549236,0.837640357,1.487045241,-1.422312537,-0.182974509,-1.328602121,0.052456596,-12.94860925,-1.199166509,-0.963652102,771279
SILVER FALLS BANK,143931,1,FAILURE,-0.03948974,-0.654070605,-0.543731456,1.204211325,-0.374868225,0.059132956,-0.769976799,-0.182974509,-1.796604657,0.010655453,-0.654070605,0.921883285,0.19404862,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,-0.010070389,-0.217544427,-0.588796288,3.600997272,0.344109278,0.089678626,-0.816526797,-0.182974509,-1.871554471,0.006217177,-0.217544427,0.627110298,0.274515835,149789
SOUTHERN PACIFIC BANK,1324870,1,FAILURE,1.597443259,-1.692955912,-1.121993308,2.171988175,-0.357869275,3.395106548,-0.043303209,-0.182974509,-0.979459148,0.050739044,-1.692955912,-0.070358972,-0.94730542,1.268157749,-1.707008993,-0.119978449,0.202648562,0.06690187,0.216947223,0.161157207,1.487893314,-0.905422692,-1.062884104,2.04054321,-0.3565265,3.72123484,0.047005439,-0.182974509,-1.255319543,0.008415056,-0.905422692,0.312671498,-2.239703557,1841003
SHERMAN COUNTY BANK,98798,1,FAILURE,-0.316958343,0.204853065,-0.459066093,2.38365828,-0.078434218,0.400375333,-0.867622447,-0.182974509,-0.650455741,-0.003398988,0.204853065,0.246479089,0.082843838,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,-0.239714715,0.126036925,-0.580439791,-0.379869373,-0.107913336,0.225651561,-1.052884949,-0.182974509,-0.733722459,-0.003512785,0.126036925,0.138193659,1.035829053,111389
WESTSOUND BANK,428546,1,FAILURE,0.765110038,-3.964808241,-0.052074219,10.70466736,0.575412022,4.83042224,-0.527930933,-0.182974509,-0.611288239,0.018867027,-3.964808241,-2.158553409,-2.404858102,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,0.708428253,-1.460941074,-0.036584652,12.79217184,2.190401785,4.33392985,-0.474728352,-0.182974509,-0.874695021,-0.004325596,-1.460941074,-2.43366832,-1.227000022,502789
UNITED COMMERCIAL BANK,13476095,1,FAILURE,3.308023,-1.08742519,0.099450495,1.443530085,-0.184446446,0.780011168,-2.506381803,-0.182974509,-0.167855663,0.035041863,-1.08742519,-1.087559177,0.20712533,1.08276285,1.685831282,-1.928282436,3.158970846,-0.836244824,3.331682147,-3.16955438,3.302059265,-1.472325622,-0.051905112,2.226624566,-0.175502474,1.643683059,-2.448620549,-0.182974509,-0.075628239,0.055206168,-1.472325622,-1.184047747,-0.321389632,13476095
COLORADO CAPITAL BANK,919183,1,FAILURE,1.327844867,-2.394708674,-0.875482494,3.445186044,0.501238287,1.991355235,-1.53853466,-0.182974509,-0.497231526,0.045795274,-2.394708674,-0.360705697,0.348109825,0.341183251,1.149291449,0.214892659,-0.454311945,-0.836244824,0.216947223,0.673574374,1.319833229,-5.912636839,-1.532781764,6.897185477,0.510298587,4.24232546,-1.793009017,-0.182974509,-0.140485361,0.094775305,-5.912636839,-0.8637674,-0.35676261,919183
BUTTE COMMUNITY BANK,551613,1,FAILURE,0.951277027,-1.177498191,-0.56663056,1.268973895,1.890680183,0.846184399,0.511390402,-0.182974509,-1.490345,0.023868419,-1.177498191,0.421668188,-0.873865215,1.175460299,1.644236672,-0.722746445,0.85960907,-0.836244824,1.300333284,-3.681971547,0.932593269,-6.113009239,-1.211982002,3.571714765,1.950363928,1.017778891,0.745549246,-0.182974509,-1.220672039,0.046656742,-6.113009239,0.464352563,-0.542697926,603409
INVESTORS SAVINGS BANK,9797950,0,,3.072966676,-0.001720441,-0.466424965,-0.088107311,-0.361634821,-0.269753733,-0.770648339,-0.159205744,-1.272448347,0.000239661,-0.001720441,-0.370874323,0.065026967,0.89736795,-0.132754951,0.348841103,0.202648562,-0.956664383,-0.324745807,-0.095051377,3.101458632,0.0083891,-0.49392981,-0.157369847,-0.372820569,-0.236244891,-0.967937223,0.402780658,-1.279374143,0.00044623,0.0083891,-0.321305936,0.259259185,20888257
FIRST STATE BANK,222673,1,FAILURE,0.282309378,-6.723046683,-1.717258695,2.122302666,0.374325342,1.744019583,0.222270546,-0.182974509,-0.73247333,0.104750749,-6.723046683,0.267892894,-1.676680591,0.89736795,-0.132754951,0.348841103,0.202648562,-0.956664383,-0.324745807,-0.095051377,0.266732981,0.245326174,-1.651268341,2.027051893,0.432828557,1.521296015,0.2891367,-0.182974509,-0.61768783,-0.011919579,0.245326174,-0.133662902,-0.488281885,263183
OCEAN BANK,5548790,0,,2.653660374,-1.85780255,-0.196479246,2.095041176,-0.374868225,1.922697626,-1.513582643,-0.182974509,-0.280904049,0.06058891,-1.85780255,-0.075760046,-0.817523357,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,2.594439026,-0.93506001,-0.125977611,2.846355621,-0.315501765,2.192422603,-1.531347937,-0.182974509,-0.497349573,0.019267066,-0.93506001,-0.649564603,-1.274003994,5948593
BANK OF NORTH GEORGIA,5550947,0,,2.653946988,-0.045014083,0.116467916,1.252057285,0.511775713,-0.274405031,-1.247995478,-0.182974509,-1.245139059,-0.001532545,-0.045014083,-0.622541392,0.049085136,0.155788351,-0.317435305,-0.253926893,0.85960907,0.00669209,0.894063511,0.41736579,2.651454094,-0.943586699,0.068837085,1.546319122,0.847239436,-0.026636456,-1.464007338,-0.182974509,-1.265943429,0.016381238,-0.943586699,-0.697560884,-0.261662461,6270436
CITY NATIONAL BANK,32314043,0,,3.952981018,0.022180987,-0.46957943,-0.70570649,-0.307478803,-0.030957691,1.50052351,-0.166118241,-0.104833058,-0.005055341,0.022180987,-0.687070196,0.0215452,0.433880701,0.067939803,0.348841103,-0.454311945,-0.776035045,-0.460169064,0.161157207,3.955584423,-0.011360505,-0.44371928,-0.717323179,-0.324827229,-0.059306581,1.569836809,-0.166592137,-0.181328487,-0.004362222,-0.011360505,-0.727632904,-0.174471807,35716797
PREMIER BANK,44829,1,FAILURE,-0.899703715,-1.123949797,-1.60684926,3.102797788,1.940649269,1.733529957,1.458829952,-0.182974509,1.328335229,-0.004325596,-1.123949797,-1.030693356,0.377195963,0.155788351,-0.140685416,0.482789546,-0.454311945,-0.956664383,-0.460169064,0.41736579,-1.033988069,-1.119137735,-1.602078842,2.57031324,2.102998672,2.083925106,1.428690444,-0.182974509,1.124484613,-0.004325596,-1.119137735,-0.800020108,-2.739010705,135857
SQUARE 1 BANK,1560030,0,,1.717934927,-0.196347114,-0.582206618,-0.477423502,-0.374868225,0.155423204,1.793849348,0.072041946,1.022884529,0.000578086,-0.196347114,0.128088255,0.729377701,0.155788351,-2.083478376,-1.057617554,-0.454311945,-0.956664383,0.487793739,1.698408708,1.756763987,-0.079235817,-0.618570223,-0.431657864,-0.374868225,0.046122485,1.79353984,-0.151735136,1.371771638,0.002230421,-0.079235817,0.324436354,0.428235516,3903887
